category,name,description,endpoint,docs_link,,,,,,,,,,,,,,,,,,,,
addresses,receiving_from_exchanges_count,Addr receiving from exch,/v1/metrics/addresses/receiving_from_exchanges_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-receiving_from_exchanges_count,,,,,,,,,,,,,,,,,,,,
addresses,sending_count,Sending addresses,/v1/metrics/addresses/sending_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-sending_count,,,,,,,,,,,,,,,,,,,,
addresses,sending_to_exchanges_count,Addr sending to exchanges,/v1/metrics/addresses/sending_to_exchanges_count,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-sending_to_exchanges_count,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_0001_001,Supply held by 0.001-0.01,/v1/metrics/addresses/supply_balance_0001_001,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_0001_001,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_001_01,Supply held by 0.01-0.1,/v1/metrics/addresses/supply_balance_001_01,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_001_01,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_01_1,Supply held by 0.1-1,/v1/metrics/addresses/supply_balance_01_1,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_01_1,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_100_1k,Supply held by 100-1K,/v1/metrics/addresses/supply_balance_100_1k,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_100_1k,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_10_100,Supply held by 10-100,/v1/metrics/addresses/supply_balance_10_100,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_10_100,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_10k_100k,Supply held by 10K-100K,/v1/metrics/addresses/supply_balance_10k_100k,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_10k_100k,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_1_10,Supply held by 1-10,/v1/metrics/addresses/supply_balance_1_10,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_1_10,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_1k_10k,Supply held by 1K-10K,/v1/metrics/addresses/supply_balance_1k_10k,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_1k_10k,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_less_0001,Supply held by <0.001,/v1/metrics/addresses/supply_balance_less_0001,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_less_0001,,,,,,,,,,,,,,,,,,,,
addresses,supply_balance_more_100k,Supply held by >100K,/v1/metrics/addresses/supply_balance_more_100k,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_balance_more_100k,,,,,,,,,,,,,,,,,,,,
addresses,supply_distribution_relative,Relative supply distrib,/v1/metrics/addresses/supply_distribution_relative,https://docs.glassnode.com/basic-api/endpoints/addresses#get-v1-metrics-addresses-supply_distribution_relative,,,,,,,,,,,,,,,,,,,,
blockchain,block_count,Daily block count,/v1/metrics/blockchain/block_count,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-block_count,,,,,,,,,,,,,,,,,,,,
